epoch,stage,train_loss,train_cls_loss,train_ord_loss,train_unc_loss,train_kan_loss,train_accuracy,val_loss,val_cls_loss,val_ord_loss,val_unc_loss,val_kan_loss,val_accuracy
1,1,0.657724875259345,0.657724875259345,0.0,0.0,0.0,49.15,0.2062707671776731,0.2062707671776731,0.0,0.0,0.0,92.06666666666666
2,1,0.5522056691450615,0.5522056691450615,0.0,0.0,0.0,61.74285714285714,0.13774709387662562,0.13774709387662562,0.0,0.0,0.0,94.36666666666666
3,1,0.5312150236066073,0.5312150236066073,0.0,0.0,0.0,64.98571428571428,0.12597105945361423,0.12597105945361423,0.0,0.0,0.0,94.86666666666666
4,1,0.5458474524795465,0.5458474524795465,0.0,0.0,0.0,63.72857142857143,0.10918800128584212,0.10918800128584212,0.0,0.0,0.0,95.53333333333333
5,1,0.5332214454503637,0.5332214454503637,0.0,0.0,0.0,64.55,0.095838037299666,0.095838037299666,0.0,0.0,0.0,95.9
6,1,0.4783712666243587,0.4783712666243587,0.0,0.0,0.0,72.48571428571428,0.04131161554300405,0.04131161554300405,0.0,0.0,0.0,98.5
7,1,0.449041504693562,0.449041504693562,0.0,0.0,0.0,73.81428571428572,0.0600361603292379,0.0600361603292379,0.0,0.0,0.0,98.36666666666666
8,1,0.3926486563347875,0.3926486563347875,0.0,0.0,0.0,77.48571428571428,0.015866208132950865,0.015866208132950865,0.0,0.0,0.0,99.46666666666667
9,1,0.40940300870493274,0.40940300870493274,0.0,0.0,0.0,74.21428571428571,0.05310597025016521,0.05310597025016521,0.0,0.0,0.0,99.23333333333333
10,1,0.3713999542799198,0.3713999542799198,0.0,0.0,0.0,77.32142857142857,0.07115061731731638,0.07115061731731638,0.0,0.0,0.0,99.43333333333334
11,2,0.7537178177913847,0.36279378258267025,0.39092403457215114,0.0,0.0,75.17857142857143,0.12587715653662987,0.04932707143907852,0.07655008541459733,0.0,0.0,99.33333333333333
12,2,0.6782192281398446,0.3378056492728232,0.34041358159161833,0.0,0.0,79.05,0.038451016642787356,0.014291636957886053,0.024159379590778275,0.0,0.0,99.26666666666667
13,2,0.7789164855693506,0.385194265692161,0.3937222180440469,0.0,0.0,77.26428571428572,0.024583685845929258,0.009794510375866865,0.014789175410616272,0.0,0.0,99.7
14,2,0.719559738101527,0.3483521693581359,0.3712075694180285,0.0,0.0,80.95714285714286,0.04745925849977326,0.022943463077412008,0.024515795412453564,0.0,0.0,99.5
15,2,0.7818090346422297,0.3871189542852962,0.39469007946222334,0.0,0.0,76.62142857142857,0.09124237433709997,0.04435040441123729,0.04689197004475492,0.0,0.0,99.86666666666666
16,2,0.6593590215689473,0.31957186795725273,0.33978715486113265,0.0,0.0,80.06428571428572,0.03515351141624628,0.013738291080486267,0.021415220335760016,0.0,0.0,99.56666666666666
17,2,0.7011491500631136,0.342252007376523,0.35889714312198523,0.0,0.0,76.70714285714286,0.049820840834303104,0.020339209219797493,0.02948163158478255,0.0,0.0,99.76666666666667
18,2,0.6965124517066307,0.3414002993726437,0.3551121518154337,0.0,0.0,77.03571428571429,0.05145349864788512,0.021904675032388656,0.0295488238136502,0.0,0.0,99.8
